src,dst
0,95
1,96
2,97
3,98
4,99
5,100
6,101
7,102
8,103
9,104
10,105
11,106
12,107
13,108
14,109
15,110
16,111
17,112
18,113
19,114
20,0
21,1
22,2
23,3
24,4
25,5
26,6
27,7
28,8
29,9
30,10
31,11
32,12
33,13
34,14
35,15
36,16
37,17
38,18
39,19
40,20
41,21
42,22
43,23
44,24
45,25
46,26
47,27
48,28
49,29
51,30
52,31
53,32
54,33
55,34
56,35
57,36
58,37
59,38
60,39
61,40
62,41
63,42
64,43
65,44
66,45
67,46
68,47
69,48
70,49
71,50
72,51
73,52
74,53
76,54
77,55
78,56
79,57
80,58
81,59
82,60
83,61
84,76
85,77
87,78
89,79
90,80
91,81
92,82
93,83
94,84
95,85
96,86
97,87
98,88
99,89
101,90
103,91
104,92
105,93
106,94
107,62
108,63
110,64
111,65
112,66
113,67
114,68
115,69
116,70
117,71
118,72
119,73
120,74
121,75
