src,dst
1,232
3,233
7,234
9,235
10,236
11,237
12,238
13,239
13,240
13,241
13,242
13,243
13,244
13,245
13,246
13,247
13,248
13,249
13,250
14,251
14,252
15,253
15,254
15,255
15,256
15,257
16,258
16,259
16,260
16,261
16,262
16,263
16,264
17,265
17,266
17,267
17,268
17,269
17,270
17,271
17,272
18,273
19,274
19,275
19,276
20,0
21,1
22,2
22,3
22,4
22,5
23,6
23,7
23,8
23,9
24,10
24,11
24,12
24,13
25,14
25,15
25,16
26,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,26
27,27
27,28
27,29
28,30
29,31
29,32
29,33
29,34
29,35
29,36
30,37
31,38
31,39
32,40
33,41
33,42
34,43
35,44
35,45
35,46
36,47
36,48
36,49
37,50
37,51
37,52
38,53
38,54
38,55
39,56
39,57
39,58
40,59
40,60
40,61
41,62
42,63
42,64
42,65
43,66
44,67
44,68
44,69
45,70
45,71
46,72
47,73
47,74
49,75
50,76
50,77
50,78
50,79
50,80
51,81
52,82
52,83
52,84
53,85
54,86
58,87
58,88
59,89
60,90
61,91
61,92
61,93
61,94
62,95
62,96
62,97
62,98
63,99
63,100
63,101
63,102
64,103
65,104
65,105
65,106
65,107
66,108
66,109
67,110
67,111
68,112
68,113
69,114
69,115
69,116
69,117
69,118
70,119
71,120
71,121
71,122
72,123
73,124
73,125
73,126
74,127
76,128
77,129
77,130
78,131
80,132
83,133
84,152
85,153
85,154
85,155
85,156
85,157
85,158
85,159
85,160
87,161
87,162
89,163
90,164
90,165
91,166
91,167
91,168
91,169
92,170
92,171
92,172
92,173
92,174
92,175
93,176
93,177
93,178
93,179
93,180
93,181
93,182
93,183
93,184
93,185
93,186
93,187
94,188
94,189
94,190
94,191
94,192
95,177
95,193
95,194
95,195
95,196
95,197
95,198
95,199
95,200
95,201
95,202
95,203
95,204
96,205
96,206
96,207
96,208
96,209
97,210
98,211
98,212
98,213
98,214
98,215
98,216
99,217
99,218
99,219
99,220
99,221
101,222
101,223
103,224
103,225
104,226
104,227
105,228
106,229
106,230
106,231
107,134
111,135
111,136
111,137
112,138
113,139
114,140
114,141
115,142
115,143
116,144
116,145
116,146
117,147
117,148
117,149
118,150
120,151
158,39
