src,dst
0,1
1,4
2,144
3,2
4,5
5,7
6,3
7,13
8,6
9,13
10,8
10,9
11,13
12,10
13,14
13,22
13,23
13,24
13,25
13,94
13,151
13,152
13,153
13,154
13,161
14,10
14,11
15,15
15,22
15,23
15,151
15,152
16,12
16,14
16,15
16,22
16,65
16,66
16,67
16,85
16,136
17,12
17,14
17,15
17,23
17,65
17,66
17,67
17,85
17,136
18,14
18,24
19,12
19,14
19,25
19,85
19,136
20,26
20,59
21,28
21,60
22,16
22,30
22,32
22,98
22,99
22,163
22,164
23,17
23,30
23,32
23,98
23,99
23,163
23,164
24,18
24,30
24,32
24,98
24,99
24,163
24,164
25,19
25,32
25,98
25,99
25,163
25,164
26,34
27,16
27,17
27,18
27,19
27,89
27,92
27,145
27,146
27,147
27,148
27,159
27,160
28,36
29,16
29,17
29,18
29,145
29,146
29,147
30,37
31,60
31,158
32,39
33,59
33,157
34,42
35,27
35,29
35,31
36,42
36,44
36,46
37,29
37,42
37,44
37,46
38,27
38,29
38,31
39,27
39,44
39,46
39,156
40,29
40,31
40,33
41,35
42,49
42,54
43,38
44,49
44,51
44,54
45,38
45,40
46,53
47,38
47,40
47,48
48,47
49,56
50,41
50,43
50,45
50,47
51,56
52,41
52,43
52,45
52,155
53,56
54,47
54,56
55,52
56,50
56,57
57,83
58,20
58,149
59,20
59,68
60,68
61,20
61,21
61,149
61,150
62,22
62,23
62,151
62,152
63,22
63,23
63,151
63,152
64,73
65,22
65,23
65,151
65,152
66,63
66,71
66,73
67,62
67,71
67,73
68,71
68,73
69,58
69,61
69,62
69,63
69,64
70,69
71,75
71,78
71,80
72,70
73,69
73,75
73,78
73,80
74,69
76,69
77,74
77,76
78,82
79,77
80,82
81,79
82,131
83,108
84,85
84,136
85,22
85,23
85,25
85,87
85,94
85,151
85,152
85,154
85,161
87,94
89,88
89,96
90,94
90,161
91,94
91,96
91,161
91,162
92,12
92,14
92,84
92,86
92,88
92,94
93,16
93,17
93,18
93,19
93,89
93,92
93,99
93,145
93,146
93,147
93,148
93,159
93,160
94,32
94,92
94,98
94,99
94,163
94,164
95,16
95,17
95,18
95,19
95,89
95,92
95,98
95,145
95,146
95,147
95,148
95,159
95,160
96,32
96,98
96,99
96,163
96,164
97,95
98,95
98,100
98,102
98,103
98,104
98,105
98,106
99,93
99,102
99,103
99,104
99,105
99,106
101,93
101,95
103,93
103,95
104,93
104,95
105,93
105,95
106,93
106,95
107,55
108,109
109,111
110,107
111,114
111,115
111,166
112,110
113,110
114,118
114,119
115,118
115,119
116,112
116,113
116,165
117,112
117,113
117,165
118,117
118,118
118,139
119,122
120,116
121,120
122,124
123,121
124,133
125,110
126,118
126,119
127,134
128,130
129,143
130,81
131,138
132,126
133,135
134,123
139,118
140,141
141,142
142,129
143,0
144,137
145,16
145,22
146,17
146,23
147,18
147,24
148,19
148,25
149,20
149,59
150,21
151,16
151,22
152,17
152,23
153,18
153,24
154,25
155,41
156,46
157,20
158,21
158,60
159,89
160,92
161,94
162,96
163,95
163,98
164,93
164,99
165,125
166,126
166,132
