src,dst
0,48
0,49
1,145
1,146
2,71
2,72
2,73
2,74
2,203
3,71
3,72
3,79
3,153
3,154
3,156
3,203
4,71
4,72
4,119
4,120
4,121
4,122
4,123
4,155
4,156
4,203
5,71
5,72
5,119
5,120
5,155
5,156
5,187
5,188
5,189
5,203
6,71
6,72
6,73
6,74
6,231
7,71
7,72
7,153
7,154
7,155
7,156
7,231
8,71
8,72
8,119
8,120
8,121
8,122
8,123
8,155
8,156
8,231
9,71
9,72
9,119
9,120
9,155
9,156
9,187
9,188
9,189
9,231
10,70
10,71
10,72
10,73
10,74
11,70
11,71
11,72
11,79
11,153
11,154
11,156
12,70
12,71
12,72
12,119
12,120
12,121
12,122
12,123
12,155
12,156
13,70
13,71
13,72
13,119
13,120
13,155
13,156
13,187
13,188
13,189
14,154
14,155
14,156
14,157
14,158
15,119
15,120
15,121
15,122
15,123
15,155
15,156
15,157
15,158
16,119
16,120
16,155
16,156
16,157
16,158
16,187
16,188
16,189
17,50
17,51
18,117
18,154
18,155
18,156
18,157
18,158
19,117
19,154
19,155
19,156
19,157
19,158
19,190
19,191
20,117
20,154
20,155
20,156
20,157
20,158
21,115
21,116
21,117
21,154
21,155
21,156
21,157
21,158
22,154
22,155
22,156
22,157
22,158
23,154
23,155
23,156
23,157
23,158
23,167
23,168
23,169
24,70
24,71
24,72
24,104
24,154
24,155
24,156
25,70
25,71
25,72
25,102
25,103
25,104
25,154
25,155
25,156
26,71
26,72
26,154
26,155
26,156
26,231
26,232
27,71
27,72
27,154
27,155
27,156
27,231
27,232
27,233
27,234
28,71
28,72
28,154
28,155
28,156
28,202
28,203
29,71
29,72
29,154
29,155
29,156
29,200
29,201
29,202
29,203
30,143
30,144
31,70
31,71
31,72
31,73
31,104
32,70
32,71
32,72
32,73
32,102
32,103
32,104
33,71
33,72
33,73
33,231
33,232
34,71
34,72
34,73
34,231
34,232
34,233
34,234
35,71
35,72
35,73
35,202
35,203
36,71
36,72
36,73
36,200
36,201
36,202
36,203
37,74
37,75
38,145
38,146
39,145
39,146
39,254
39,255
39,256
40,151
40,152
40,153
41,48
41,49
41,50
42,48
42,49
42,50
42,228
42,229
42,230
43,52
43,53
43,54
43,55
43,56
43,57
43,58
44,147
44,148
44,149
44,150
44,151
44,152
