src,dst
0,26
1,28
2,30
3,32
4,98
5,99
6,30
7,32
8,98
9,99
10,30
11,32
12,98
13,99
14,32
15,98
16,99
17,34
18,89
19,89
20,92
21,92
21,160
22,19
23,19
23,148
24,18
25,18
26,17
27,17
28,16
29,16
30,36
31,18
32,18
33,17
34,17
34,146
35,16
36,16
37,37
38,60
39,60
40,39
41,59
42,59
43,42
44,27
45,29
46,31
47,42
48,44
49,46
50,42
51,44
52,46
53,27
54,29
55,31
56,44
57,46
58,46
59,29
60,31
61,33
62,35
63,54
64,54
65,49
66,38
67,54
68,49
69,51
70,38
71,40
72,53
73,38
74,40
75,56
76,41
77,41
78,43
79,45
80,47
81,56
82,41
83,43
84,45
85,56
86,56
87,20
88,20
88,149
89,68
90,68
91,20
92,20
93,21
94,21
95,22
96,22
96,151
97,23
98,23
98,152
99,22
100,22
100,151
101,23
102,23
102,152
103,73
104,22
105,22
106,23
107,23
108,71
109,73
110,71
111,73
112,71
113,73
114,64
115,58
116,61
117,62
118,63
119,69
120,75
121,78
122,80
123,70
124,75
125,78
126,80
127,69
128,69
129,74
130,76
131,82
132,82
133,108
134,55
135,114
136,114
137,115
138,110
139,110
140,118
141,119
142,118
143,119
144,112
145,113
146,113
147,112
148,113
149,113
150,118
151,116
152,85
153,22
154,22
155,23
156,23
156,152
157,25
158,25
159,87
160,94
161,94
162,94
163,88
164,94
165,94
166,94
167,94
168,96
169,96
170,88
171,86
172,84
173,84
174,12
175,14
176,89
177,89
177,159
178,92
179,92
180,19
181,19
182,18
183,18
184,17
185,17
186,16
187,16
188,32
189,98
190,98
191,99
192,99
193,89
194,89
195,92
196,92
197,19
198,19
199,18
200,18
201,17
202,17
203,16
204,16
205,32
206,98
207,98
208,99
209,99
210,95
211,100
212,103
213,104
214,105
215,106
216,102
217,103
218,104
219,106
220,105
221,102
222,93
223,95
224,93
225,95
226,93
227,95
228,93
229,95
230,93
231,95
232,4
233,2
234,13
235,13
236,8
237,13
238,10
239,22
239,151
240,22
241,23
242,23
242,152
243,23
244,23
245,24
246,24
246,153
247,25
248,25
249,94
250,94
251,10
252,11
253,15
254,22
255,22
256,23
257,23
258,85
259,12
260,14
261,15
262,65
263,66
264,67
265,85
266,12
267,14
268,14
269,15
270,65
271,66
272,67
273,14
274,85
275,12
276,14
