src,dst
0,20
1,21
2,22
3,23
4,24
5,25
6,26
7,27
8,28
9,29
10,30
11,31
12,32
13,33
14,34
15,35
16,36
17,37
18,38
19,39
20,40
21,41
22,42
23,43
24,44
25,45
26,46
27,47
28,48
29,49
30,51
31,52
32,53
33,54
34,55
35,56
36,57
37,58
38,59
39,60
40,61
41,62
42,63
43,64
44,65
45,66
46,67
47,68
48,69
49,70
50,71
51,72
52,73
53,74
54,76
55,77
56,78
57,79
58,80
59,81
60,82
61,83
62,107
63,108
64,110
65,111
66,112
67,113
68,114
69,115
70,116
71,117
72,118
73,119
74,120
75,121
76,84
77,85
78,87
79,89
80,90
81,91
82,92
83,93
84,94
85,95
86,96
87,97
88,98
89,99
90,101
91,103
92,104
93,105
94,106
95,0
96,1
97,2
98,3
99,4
100,5
101,6
102,7
103,8
104,9
105,10
106,11
107,12
108,13
109,14
110,15
111,16
112,17
113,18
114,19
