src,dst
0,2
1,5
2,0
2,3
3,2
3,4
4,3
4,6
5,1
5,7
6,4
7,5
17,19
18,21
19,17
19,20
19,46
20,19
20,24
21,18
21,23
21,25
22,26
23,21
24,20
24,26
25,21
26,22
26,24
26,28
27,28
27,45
27,47
28,26
28,27
28,32
29,30
29,47
30,29
32,28
32,33
33,32
33,36
34,35
34,47
35,34
35,37
36,33
36,38
37,35
37,41
38,36
38,39
39,38
41,37
45,27
46,19
47,27
47,29
47,34
48,49
48,230
49,48
49,50
50,49
50,51
51,50
51,52
52,51
52,53
53,52
53,54
54,53
54,55
54,140
55,54
55,56
55,140
56,55
56,57
57,56
57,58
58,57
58,59
59,58
59,60
60,59
60,61
60,135
61,60
61,62
61,80
62,61
62,63
63,62
63,64
64,63
64,65
65,64
65,66
65,130
66,65
66,67
66,129
67,66
67,68
67,83
68,67
70,71
70,104
71,70
71,72
71,73
71,203
71,231
72,71
72,73
72,156
73,71
73,72
73,74
73,156
74,73
74,75
75,74
75,76
76,75
76,77
77,76
77,78
77,141
78,77
78,139
78,149
79,154
79,156
80,61
80,81
81,80
81,82
82,81
82,83
83,67
83,82
85,86
86,85
86,87
87,86
87,88
88,87
90,91
91,90
91,92
92,91
92,93
93,92
93,94
93,175
94,93
94,95
94,105
95,94
95,96
96,95
96,97
96,174
97,96
97,98
97,99
98,97
98,100
98,101
98,172
99,97
99,107
99,237
100,98
100,236
100,237
101,98
101,102
102,101
102,103
103,102
103,104
104,70
104,103
105,94
106,107
107,99
107,106
108,109
109,108
109,110
109,173
110,109
110,111
111,110
111,112
111,171
112,111
112,113
113,112
113,114
113,206
114,113
114,115
114,208
115,114
115,116
116,115
116,117
117,116
117,118
117,158
117,190
118,117
118,119
119,118
119,120
119,155
120,119
120,121
120,154
120,189
121,120
121,122
122,121
122,123
123,122
123,124
124,123
124,125
125,124
125,126
125,185
126,125
127,128
128,127
128,129
129,66
129,128
129,130
130,65
130,129
130,131
131,130
131,132
131,161
132,131
132,133
133,132
133,134
134,133
134,135
135,60
135,134
135,136
136,135
136,137
137,136
137,138
138,137
138,139
138,147
139,78
139,138
139,140
140,54
140,55
140,139
140,141
141,77
141,140
141,142
142,141
142,143
143,142
143,144
144,143
145,146
146,145
146,254
147,138
147,148
147,166
148,147
148,149
149,78
149,148
149,150
150,149
150,151
151,150
151,152
152,151
152,153
153,152
153,154
154,79
154,120
154,153
154,155
154,156
155,119
155,154
155,156
156,72
156,73
156,79
156,154
156,155
156,157
157,156
157,158
158,117
158,157
158,167
161,131
161,162
162,161
162,163
163,162
163,164
164,163
164,165
165,164
165,166
166,147
166,165
167,158
167,168
168,167
168,169
169,168
169,170
170,169
170,171
171,111
171,170
171,172
172,98
172,171
172,173
173,109
173,172
173,174
174,96
174,173
174,175
175,93
175,174
175,176
176,175
176,177
177,176
177,178
178,177
180,181
181,180
181,182
182,181
184,185
185,125
185,184
185,186
186,185
186,187
187,186
187,188
188,187
188,189
189,120
189,188
190,117
190,191
191,190
191,209
192,193
192,244
192,263
193,192
193,194
194,193
194,195
195,194
195,196
196,195
196,197
197,196
197,198
198,197
198,199
198,237
199,198
199,200
199,235
200,199
200,201
201,200
201,202
202,201
202,203
203,71
203,202
204,214
205,216
206,113
207,208
208,114
208,207
208,209
209,191
209,208
213,214
214,204
214,213
214,215
215,214
216,205
216,217
217,216
217,218
217,251
217,268
218,217
218,219
219,218
219,220
220,219
220,221
220,264
221,220
221,222
221,223
222,221
223,221
223,224
224,223
224,225
225,224
225,226
226,225
226,227
226,258
227,226
227,228
228,227
228,229
229,228
229,230
230,48
230,229
231,71
231,232
232,231
232,233
233,232
233,234
234,233
234,235
235,199
235,234
235,236
235,237
236,100
236,235
236,237
237,99
237,100
237,198
237,235
237,236
237,239
238,239
239,237
239,238
239,240
240,239
240,241
241,240
241,242
242,241
242,243
243,242
243,244
244,192
244,243
244,245
245,244
245,266
246,247
246,270
247,246
248,273
251,217
251,252
251,269
252,251
252,253
252,268
252,269
253,252
254,146
254,255
255,254
255,256
256,255
256,257
257,256
257,258
258,226
258,257
258,259
259,258
259,260
260,259
260,261
261,260
261,262
262,261
262,263
263,192
263,262
263,264
264,220
264,263
264,265
265,264
265,266
266,245
266,265
266,267
267,266
268,217
268,252
268,269
269,251
269,252
269,268
269,270
270,246
270,269
270,271
271,270
272,273
273,248
273,272
