src,dst
0,133
1,134
2,133
3,133
4,133
5,134
6,133
7,134
17,138
17,139
18,135
18,136
18,137
19,138
19,139
20,138
20,144
21,135
21,136
21,137
22,146
22,149
23,136
24,144
24,147
25,137
26,144
26,145
26,146
26,147
26,148
26,149
27,140
27,141
27,142
27,143
27,147
27,148
27,149
28,144
28,145
28,146
28,147
28,148
28,149
29,140
29,142
29,147
29,148
29,149
30,140
30,142
30,147
30,148
30,149
31,150
32,144
32,145
32,146
32,151
33,151
34,141
34,143
35,141
35,143
36,151
37,141
37,143
38,151
39,151
41,141
45,140
45,141
46,139
47,140
47,141
47,142
47,143
47,147
47,148
47,149
48,0
48,41
48,42
49,0
49,41
49,42
50,17
50,41
50,42
50,61
51,17
51,61
52,43
52,61
53,43
53,61
54,43
54,50
54,61
55,43
55,47
55,50
55,59
55,60
55,61
56,43
56,47
56,50
56,59
56,60
56,61
57,43
57,47
57,50
57,59
57,60
57,61
57,71
57,74
58,43
58,47
58,50
58,63
58,64
58,65
58,71
58,74
59,63
59,64
59,65
59,71
59,74
60,63
60,64
60,65
60,67
60,68
60,70
60,71
60,73
60,74
61,63
61,64
61,65
61,67
61,68
61,70
61,71
61,73
61,74
62,65
62,68
62,70
62,71
63,65
63,68
63,70
63,71
63,75
63,79
63,84
64,75
64,79
64,84
65,75
65,76
65,77
65,78
65,79
65,81
65,84
65,85
66,75
66,76
66,77
66,78
66,79
66,81
66,84
66,85
67,75
67,76
67,77
67,78
67,79
67,80
67,81
67,85
67,86
68,75
68,76
68,77
68,78
68,79
68,80
68,81
68,85
68,86
70,10
70,11
70,12
70,13
70,24
70,25
70,31
70,32
70,182
70,183
70,199
70,200
71,2
71,3
71,4
71,5
71,6
71,7
71,8
71,9
71,10
71,11
71,12
71,13
71,24
71,25
71,26
71,27
71,28
71,29
71,31
71,32
71,33
71,34
71,35
71,36
71,182
71,183
71,184
71,185
71,186
71,187
71,199
71,200
71,201
71,202
71,203
71,204
72,2
72,3
72,4
72,5
72,6
72,7
72,8
72,9
72,10
72,11
72,12
72,13
72,24
72,25
72,26
72,27
72,28
72,29
72,31
72,32
72,33
72,34
72,35
72,36
72,182
72,183
72,184
72,185
72,186
72,187
73,2
73,6
73,10
73,31
73,32
73,33
73,34
73,35
73,36
73,199
73,200
73,201
73,202
73,203
73,204
74,2
74,6
74,10
74,37
74,45
74,54
74,59
75,37
75,45
75,51
75,52
75,54
75,59
76,45
76,50
76,51
76,52
76,54
76,59
77,45
77,50
77,51
77,52
77,54
77,59
78,45
78,51
78,52
78,53
78,54
78,56
79,3
79,11
80,63
80,64
80,67
80,73
80,74
81,64
81,67
81,73
81,74
81,80
82,64
82,67
82,80
82,86
83,80
83,86
85,232
86,232
87,232
88,232
90,234
91,234
92,234
93,234
93,235
93,251
94,234
94,235
94,237
94,251
94,252
95,175
95,234
95,235
95,237
95,260
95,267
95,273
95,276
96,175
96,239
96,240
96,241
96,242
96,243
96,244
96,245
96,246
96,247
96,248
96,249
96,250
96,260
96,267
96,268
96,273
96,276
97,239
97,240
97,241
97,242
97,245
97,246
97,260
97,268
97,273
98,153
98,154
98,155
98,156
98,241
98,243
98,244
98,245
98,246
98,258
98,259
98,265
